Source,Target,Type,Id,Label,Weight
4,4,Directed,1001269,,1
4,39,Directed,1001270,,1
4,69,Directed,1001271,,1
5,40,Directed,1001284,,1
5,2,Directed,1001285,,2
5,NA,Directed,1001286,,8
5,M,Directed,1001288,,3
5,TRUE,Directed,1001289,,6
5,FALSE,Directed,1001290,,18
5,1,Directed,1001295,,6
5,5,Directed,1001297,,2
5,41,Directed,1001298,,1
5,35,Directed,1001299,,1
5,F,Directed,1001302,,1
5,42,Directed,1001312,,1
5,37,Directed,1001313,,1
5,4,Directed,1001325,,1
5,43,Directed,1001326,,1
5,30,Directed,1001327,,1
5,3,Directed,1001337,,2
6,44,Directed,1001340,,1
6,2,Directed,1001341,,1
6,NA,Directed,1001342,,12
6,F,Directed,1001344,,3
6,TRUE,Directed,1001345,,6
6,FALSE,Directed,1001346,,30
6,1,Directed,1001351,,9
6,5,Directed,1001353,,5
6,45,Directed,1001354,,1
6,32,Directed,1001355,,3
6,46,Directed,1001368,,1
6,31,Directed,1001369,,1
6,M,Directed,1001372,,3
6,47,Directed,1001382,,1
6,4,Directed,1001395,,4
6,48,Directed,1001396,,1
6,49,Directed,1001410,,1
6,35,Directed,1001411,,1
7,50,Directed,1001424,,1
7,30,Directed,1001425,,1
7,NA,Directed,1001426,,19
7,F,Directed,1001428,,5
7,TRUE,Directed,1001429,,10
7,FALSE,Directed,1001430,,32
7,1,Directed,1001435,,5
7,5,Directed,1001437,,2
7,51,Directed,1001438,,1
7,33,Directed,1001439,,1
7,M,Directed,1001442,,2
7,52,Directed,1001452,,1
7,2,Directed,1001463,,7
7,3,Directed,1001465,,7
7,53,Directed,1001466,,1
7,54,Directed,1001480,,1
7,55,Directed,1001494,,1
7,56,Directed,1001508,,1
8,57,Directed,1001522,,1
8,16,Directed,1001523,,1
8,NA,Directed,1001524,,8
8,F,Directed,1001526,,3
8,TRUE,Directed,1001527,,4
8,FALSE,Directed,1001528,,20
8,1,Directed,1001533,,8
8,5,Directed,1001535,,4
